y,c,T3,R2
-0.909,0.097,-3.16469,-0.02835
-0.7822,0.14263,-0.66959,-0.02933
-0.6554,0.18822,0.43315,-0.0301
-0.5286,0.23381,0.61482,-0.03053
-0.4018,0.2794,0.34492,-0.03071
-0.275,0.325,-0.07695,-0.03074
-0.18333,0.325,-0.13789,-0.03074
-0.09166,0.325,-0.18212,-0.03074
1E-05,0.325,-0.19814,-0.03074
0.09168,0.325,-0.18191,-0.03074
0.18335,0.325,-0.13751,-0.03074
0.27502,0.325,-0.07647,-0.03074
0.40182,0.2794,0.34535,-0.03071
0.52862,0.23381,0.61483,-0.03053
0.65542,0.18822,0.43185,-0.0301
0.78222,0.14263,-0.67149,-0.02933
0.909,0.097,-3.16501,-0.02835
